"ELEMENT_NATIONAL_ID","SCIENTIFIC_NAME","SHORT_CITATION_AUTHOR","SHORT_CITATION_YEAR"
"162589.0","Clethrionomys gapperi","Wilson and Reeder","2005.0"
"162589.0","Clethrionomys gapperi","Hall","1981.0"
"162589.0","Clethrionomys gapperi","Banfield","1974.0"
"162589.0","Clethrionomys gapperi","Parks Canada","2000.0"
"165572.0","Eutamias ruficaudus","Baker et al.","2003.0"
"165572.0","Eutamias ruficaudus","Hall","1981.0"
"165572.0","Eutamias ruficaudus","Banfield","1974.0"
"165572.0","Eutamias ruficaudus","Parks Canada","2000.0"
"165572.0","Eutamias ruficaudus","Smith","1993.0"
"162247.0","Coluber mormon","Crother","2012.0"
"162247.0","Coluber mormon","COSEWIC","2015.0"
"817010.0","Hypsiglena torquata","Crother","2012.0"
"817010.0","Hypsiglena torquata","Mulcahy","2008.0"
"161870.0","Bufo fowleri","Sullivan et al.","1996.0"
"161870.0","Bufo fowleri","Frost","2010.0"
"161870.0","Bufo fowleri","Weller and Oldham","1988.0"
"161870.0","Bufo fowleri","Preston","1982.0"
"161870.0","Bufo fowleri","Green","1986.0"
"161870.0","Bufo fowleri","Cook","1984.0"
"161870.0","Bufo fowleri","Green",""
"161870.0","Bufo fowleri","Weller and Green","1997.0"
"165600.0","Elaphe vulpina gloydi","Harding","1997.0"
"165600.0","Elaphe vulpina gloydi","Crother","2008.0"
"165600.0","Elaphe vulpina gloydi","Collins","1997.0"
"165600.0","Elaphe vulpina gloydi","Cook","1984.0"
"162379.0","Hybopsis storeriana","Nelson et al.","2004.0"
"165975.0","Lagopus leucurus saxatilis","American Ornithologists' Union (AOU)","2004.0"
